genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
,https://api.spotify.com/v1/artists/1ffNa7yLg0ncUpBm5P03pm,1ffNa7yLg0ncUpBm5P03pm,,Freddy Cannon,35,artist,spotify:artist:1ffNa7yLg0ncUpBm5P03pm,https://open.spotify.com/artist/1ffNa7yLg0ncUpBm5P03pm,NA,25368
,https://api.spotify.com/v1/artists/2M93P87MDGek6uzg7Jn7he,2M93P87MDGek6uzg7Jn7he,,Anita Bryant,28,artist,spotify:artist:2M93P87MDGek6uzg7Jn7he,https://open.spotify.com/artist/2M93P87MDGek6uzg7Jn7he,NA,3772
,https://api.spotify.com/v1/artists/2hOXOavOPsbPgls3ebJLFp,2hOXOavOPsbPgls3ebJLFp,,The Fendermen,27,artist,spotify:artist:2hOXOavOPsbPgls3ebJLFp,https://open.spotify.com/artist/2hOXOavOPsbPgls3ebJLFp,NA,1208
,https://api.spotify.com/v1/artists/6KWcxMWVNVIYbdOQyJtsSy,6KWcxMWVNVIYbdOQyJtsSy,,The Platters,63,artist,spotify:artist:6KWcxMWVNVIYbdOQyJtsSy,https://open.spotify.com/artist/6KWcxMWVNVIYbdOQyJtsSy,NA,586744
,https://api.spotify.com/v1/artists/4mDEpwlcBham5q1dmykSG0,4mDEpwlcBham5q1dmykSG0,,Billy Bland,14,artist,spotify:artist:4mDEpwlcBham5q1dmykSG0,https://open.spotify.com/artist/4mDEpwlcBham5q1dmykSG0,NA,613
,https://api.spotify.com/v1/artists/2aWMpUpxRV3pGXVdr6Srp9,2aWMpUpxRV3pGXVdr6Srp9,,Jimmy Charles,17,artist,spotify:artist:2aWMpUpxRV3pGXVdr6Srp9,https://open.spotify.com/artist/2aWMpUpxRV3pGXVdr6Srp9,NA,314
,https://api.spotify.com/v1/artists/4sj6D0zlMOl25nprDJBiU9,4sj6D0zlMOl25nprDJBiU9,,Andy Williams,62,artist,spotify:artist:4sj6D0zlMOl25nprDJBiU9,https://open.spotify.com/artist/4sj6D0zlMOl25nprDJBiU9,NA,420304
,https://api.spotify.com/v1/artists/5MX2l6ewjOaeWn1lYNhzlO,5MX2l6ewjOaeWn1lYNhzlO,,Bobby Vee,52,artist,spotify:artist:5MX2l6ewjOaeWn1lYNhzlO,https://open.spotify.com/artist/5MX2l6ewjOaeWn1lYNhzlO,NA,167487
,https://api.spotify.com/v1/artists/5MsnoFODDc5nxWrjm99Zew,5MsnoFODDc5nxWrjm99Zew,,The Four Preps,32,artist,spotify:artist:5MsnoFODDc5nxWrjm99Zew,https://open.spotify.com/artist/5MsnoFODDc5nxWrjm99Zew,NA,12919
,https://api.spotify.com/v1/artists/4LYmQXFj0BsQMrcigsdWll,4LYmQXFj0BsQMrcigsdWll,,The Safaris,21,artist,spotify:artist:4LYmQXFj0BsQMrcigsdWll,https://open.spotify.com/artist/4LYmQXFj0BsQMrcigsdWll,NA,671
,https://api.spotify.com/v1/artists/2ttm3uT0N1RN7vwKv1pQgh,2ttm3uT0N1RN7vwKv1pQgh,,Brook Benton,52,artist,spotify:artist:2ttm3uT0N1RN7vwKv1pQgh,https://open.spotify.com/artist/2ttm3uT0N1RN7vwKv1pQgh,NA,53258
,https://api.spotify.com/v1/artists/40PAEtNxO98lBeQHCza9vA,40PAEtNxO98lBeQHCza9vA,,Marv Johnson,30,artist,spotify:artist:40PAEtNxO98lBeQHCza9vA,https://open.spotify.com/artist/40PAEtNxO98lBeQHCza9vA,NA,16975
