artists,available_markets,disc_number,duration_ms,explicit,href,id,is_local,name,popularity,preview_url,track_number,type,uri,album.album_type,album.artists,album.available_markets,album.href,album.id,album.images,album.name,album.release_date,album.release_date_precision,album.total_tracks,album.type,album.uri,album.external_urls.spotify,external_ids.isrc,external_urls.spotify
,,1,118133,FALSE,https://api.spotify.com/v1/tracks/0oI0ekrSQ3aHiHcMi1B2gK,0oI0ekrSQ3aHiHcMi1B2gK,FALSE,Sixteen Reasons,45,https://p.scdn.co/mp3-preview/96929c5dbc111ee820063428a0ce8aee8851f601?cid=d450383041644584b024ce9752894d1c,1,track,spotify:track:0oI0ekrSQ3aHiHcMi1B2gK,album,,,https://api.spotify.com/v1/albums/2hZdGd8tD6aJU63iDMlQF8,2hZdGd8tD6aJU63iDMlQF8,,"As Cricket In ""Hawaiian Eye""",2005-05-24,day,12,album,spotify:album:2hZdGd8tD6aJU63iDMlQF8,https://open.spotify.com/album/2hZdGd8tD6aJU63iDMlQF8,USWB10203616,https://open.spotify.com/track/0oI0ekrSQ3aHiHcMi1B2gK
,,1,168200,FALSE,https://api.spotify.com/v1/tracks/1wkIJldiqV38nKjuHlZN5A,1wkIJldiqV38nKjuHlZN5A,FALSE,Puppy Love,0,NA,2,track,spotify:track:1wkIJldiqV38nKjuHlZN5A,compilation,,,https://api.spotify.com/v1/albums/0pF0GwDgjih587sjDchbfS,0pF0GwDgjih587sjDchbfS,,Destiny,2011-01-01,day,15,album,spotify:album:0pF0GwDgjih587sjDchbfS,https://open.spotify.com/album/0pF0GwDgjih587sjDchbfS,USA2P1113007,https://open.spotify.com/track/1wkIJldiqV38nKjuHlZN5A
,,1,155240,FALSE,https://api.spotify.com/v1/tracks/3hvakqVpwaz4L7zN5HfTCY,3hvakqVpwaz4L7zN5HfTCY,FALSE,Why,0,NA,13,track,spotify:track:3hvakqVpwaz4L7zN5HfTCY,compilation,,,https://api.spotify.com/v1/albums/286yhoPxSXjLS3uM479iXx,286yhoPxSXjLS3uM479iXx,,"#1 Hits Of The '50s, '60s & '70s",2008-01-01,day,48,album,spotify:album:286yhoPxSXjLS3uM479iXx,https://open.spotify.com/album/286yhoPxSXjLS3uM479iXx,USA560795876,https://open.spotify.com/track/3hvakqVpwaz4L7zN5HfTCY
,,1,194640,FALSE,https://api.spotify.com/v1/tracks/4F7T8NnGKbhLMVtAMycDQg,4F7T8NnGKbhLMVtAMycDQg,FALSE,Sink The Bismarck,47,https://p.scdn.co/mp3-preview/8e85646f49f6887f9139e788a29a6ac4af99238e?cid=d450383041644584b024ce9752894d1c,10,track,spotify:track:4F7T8NnGKbhLMVtAMycDQg,compilation,,,https://api.spotify.com/v1/albums/3ZQQjQreYCK9obcS5B5bwI,3ZQQjQreYCK9obcS5B5bwI,,Johnny Horton'S Greatest Hits,1961,year,13,album,spotify:album:3ZQQjQreYCK9obcS5B5bwI,https://open.spotify.com/album/3ZQQjQreYCK9obcS5B5bwI,USSM19916426,https://open.spotify.com/track/4F7T8NnGKbhLMVtAMycDQg
,,2,160000,FALSE,https://api.spotify.com/v1/tracks/1sK10Me7qS9em2QTx6dYRe,1sK10Me7qS9em2QTx6dYRe,FALSE,Chain Gang,53,https://p.scdn.co/mp3-preview/097ec268319a412602b902892257b0c81048c197?cid=d450383041644584b024ce9752894d1c,1,track,spotify:track:1sK10Me7qS9em2QTx6dYRe,compilation,,,https://api.spotify.com/v1/albums/3Seie4YIVLWtPw2hQrouNY,3Seie4YIVLWtPw2hQrouNY,,The Man Who Invented Soul,2000-09-26,day,96,album,spotify:album:3Seie4YIVLWtPw2hQrouNY,https://open.spotify.com/album/3Seie4YIVLWtPw2hQrouNY,USRC16007152,https://open.spotify.com/track/1sK10Me7qS9em2QTx6dYRe
,,1,205693,FALSE,https://api.spotify.com/v1/tracks/5fmtvzDvwlfvNjdNrOj8TA,5fmtvzDvwlfvNjdNrOj8TA,FALSE,Cherish,38,https://p.scdn.co/mp3-preview/437af2cba2c60aa8ce35e08297117dccc5d937ef?cid=d450383041644584b024ce9752894d1c,8,track,spotify:track:5fmtvzDvwlfvNjdNrOj8TA,compilation,,,https://api.spotify.com/v1/albums/0gC39hx2OS9rA9hSItx217,0gC39hx2OS9rA9hSItx217,,Just The Right Sound: The Association Anthology [Digital Version],2006-04-11,day,46,album,spotify:album:0gC39hx2OS9rA9hSItx217,https://open.spotify.com/album/0gC39hx2OS9rA9hSItx217,USWB19901625,https://open.spotify.com/track/5fmtvzDvwlfvNjdNrOj8TA
,,1,161266,FALSE,https://api.spotify.com/v1/tracks/1kwLmeXUH7SLuEus82e2lj,1kwLmeXUH7SLuEus82e2lj,FALSE,Let It Be Me,0,NA,54,track,spotify:track:1kwLmeXUH7SLuEus82e2lj,compilation,,,https://api.spotify.com/v1/albums/47QHvk097M0waPUE2jouMR,47QHvk097M0waPUE2jouMR,,The Everly Brothers 55 Essential Tracks (Digitally Remastered),2011-07-24,day,55,album,spotify:album:47QHvk097M0waPUE2jouMR,https://open.spotify.com/album/47QHvk097M0waPUE2jouMR,GBQ2F1100278,https://open.spotify.com/track/1kwLmeXUH7SLuEus82e2lj
,,1,132346,FALSE,https://api.spotify.com/v1/tracks/33igcthkkskYSoeL6YmVs6,33igcthkkskYSoeL6YmVs6,FALSE,Good Timin',0,NA,2,track,spotify:track:33igcthkkskYSoeL6YmVs6,album,,,https://api.spotify.com/v1/albums/6HBQSTpnePh3phXQYmhOkY,6HBQSTpnePh3phXQYmhOkY,,Handyman,2007-01-01,day,20,album,spotify:album:6HBQSTpnePh3phXQYmhOkY,https://open.spotify.com/album/6HBQSTpnePh3phXQYmhOkY,USA560633254,https://open.spotify.com/track/33igcthkkskYSoeL6YmVs6
,,1,172480,FALSE,https://api.spotify.com/v1/tracks/2EIaO5knwUA3F2qnf9LV3S,2EIaO5knwUA3F2qnf9LV3S,FALSE,Beyond the Sea,61,https://p.scdn.co/mp3-preview/95fd2d5ccca641d554937a64def734da54256ff2?cid=d450383041644584b024ce9752894d1c,17,track,spotify:track:2EIaO5knwUA3F2qnf9LV3S,compilation,,,https://api.spotify.com/v1/albums/65okcRJHUVUrFiDG3I1Sz8,65okcRJHUVUrFiDG3I1Sz8,,The Ultimate Bobby Darin,2004-11-23,day,17,album,spotify:album:65okcRJHUVUrFiDG3I1Sz8,https://open.spotify.com/album/65okcRJHUVUrFiDG3I1Sz8,USEW10000026,https://open.spotify.com/track/2EIaO5knwUA3F2qnf9LV3S
,,1,168093,FALSE,https://api.spotify.com/v1/tracks/52gdxdolPNwBJZLAZDG1Md,52gdxdolPNwBJZLAZDG1Md,FALSE,Night,0,NA,9,track,spotify:track:52gdxdolPNwBJZLAZDG1Md,compilation,,,https://api.spotify.com/v1/albums/1ZyHuYQHfGW9WS0Ivi6NSM,1ZyHuYQHfGW9WS0Ivi6NSM,,The Greatest Hits of the Early Years,2011-05-09,day,20,album,spotify:album:1ZyHuYQHfGW9WS0Ivi6NSM,https://open.spotify.com/album/1ZyHuYQHfGW9WS0Ivi6NSM,GBGQH1100190,https://open.spotify.com/track/52gdxdolPNwBJZLAZDG1Md
,,2,127266,FALSE,https://api.spotify.com/v1/tracks/00xrc3JfsWSNuE4v5XU1yD,00xrc3JfsWSNuE4v5XU1yD,FALSE,The Big Hurt,8,https://p.scdn.co/mp3-preview/c903832000b223e23573006a0ed8b6bdc50d0369?cid=d450383041644584b024ce9752894d1c,16,track,spotify:track:00xrc3JfsWSNuE4v5XU1yD,compilation,,,https://api.spotify.com/v1/albums/6WRu7jCqLB1hwyYGURJ6qg,6WRu7jCqLB1hwyYGURJ6qg,,The Wonderful World of the 50's - 100 Hit Songs,2008-07-29,day,100,album,spotify:album:6WRu7jCqLB1hwyYGURJ6qg,https://open.spotify.com/album/6WRu7jCqLB1hwyYGURJ6qg,USDEI5905051,https://open.spotify.com/track/00xrc3JfsWSNuE4v5XU1yD
,,1,134586,FALSE,https://api.spotify.com/v1/tracks/42rtq2Vxa8rADKhaa4cKS3,42rtq2Vxa8rADKhaa4cKS3,FALSE,Lonely Blue Boy,0,NA,13,track,spotify:track:42rtq2Vxa8rADKhaa4cKS3,compilation,,,https://api.spotify.com/v1/albums/4RVCsSYSbDNCaeOtkBRqEs,4RVCsSYSbDNCaeOtkBRqEs,,The Very Best Of…,2007-03-13,day,19,album,spotify:album:4RVCsSYSbDNCaeOtkBRqEs,https://open.spotify.com/album/4RVCsSYSbDNCaeOtkBRqEs,USA560630183,https://open.spotify.com/track/42rtq2Vxa8rADKhaa4cKS3
,,1,111960,FALSE,https://api.spotify.com/v1/tracks/15fyk6OPCMiIHG7EPIVVne,15fyk6OPCMiIHG7EPIVVne,FALSE,Pretty Blue Eyes,0,NA,16,track,spotify:track:15fyk6OPCMiIHG7EPIVVne,compilation,,,https://api.spotify.com/v1/albums/2m4ZJ2Q3PoKW6g5pX20QvZ,2m4ZJ2Q3PoKW6g5pX20QvZ,,Tearjerkers and Heartbreakers... Original Artists,2010-12-03,day,22,album,spotify:album:2m4ZJ2Q3PoKW6g5pX20QvZ,https://open.spotify.com/album/2m4ZJ2Q3PoKW6g5pX20QvZ,USA2P1013384,https://open.spotify.com/track/15fyk6OPCMiIHG7EPIVVne
,,1,159879,FALSE,https://api.spotify.com/v1/tracks/4XuDYDtQwn4cEcSeB7xQuL,4XuDYDtQwn4cEcSeB7xQuL,FALSE,Way Down Yonder In New Orleans,0,NA,4,track,spotify:track:4XuDYDtQwn4cEcSeB7xQuL,album,,,https://api.spotify.com/v1/albums/7I6gd2FDfwwdedHeGobvsf,7I6gd2FDfwwdedHeGobvsf,,The Explosive Freddy Cannon,2011-01-01,day,12,album,spotify:album:7I6gd2FDfwwdedHeGobvsf,https://open.spotify.com/album/7I6gd2FDfwwdedHeGobvsf,GBJUT1004788,https://open.spotify.com/track/4XuDYDtQwn4cEcSeB7xQuL
,,1,175146,FALSE,https://api.spotify.com/v1/tracks/2L3EQNvy6BbXaUrVsoxWzz,2L3EQNvy6BbXaUrVsoxWzz,FALSE,Paper Roses,0,https://p.scdn.co/mp3-preview/6e314f23c81f6bee12cab988f20f55d95a92cd12?cid=d450383041644584b024ce9752894d1c,3,track,spotify:track:2L3EQNvy6BbXaUrVsoxWzz,compilation,,,https://api.spotify.com/v1/albums/2bZrEgjlPEdqShPdNIpAm6,2bZrEgjlPEdqShPdNIpAm6,,The Very Best Of,2010-12-01,day,25,album,spotify:album:2bZrEgjlPEdqShPdNIpAm6,https://open.spotify.com/album/2bZrEgjlPEdqShPdNIpAm6,USA371132733,https://open.spotify.com/track/2L3EQNvy6BbXaUrVsoxWzz
