artist_id,latest_release,med_release,genres,href,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
1667U2YoucgG5Pdvm2M59c,1975,1975,country rock,https://api.spotify.com/v1/artists/1667U2YoucgG5Pdvm2M59c,,Orleans,56,artist,spotify:artist:1667U2YoucgG5Pdvm2M59c,https://open.spotify.com/artist/1667U2YoucgG5Pdvm2M59c,NA,126659
1667U2YoucgG5Pdvm2M59c,1975,1975,folk rock,https://api.spotify.com/v1/artists/1667U2YoucgG5Pdvm2M59c,,Orleans,56,artist,spotify:artist:1667U2YoucgG5Pdvm2M59c,https://open.spotify.com/artist/1667U2YoucgG5Pdvm2M59c,NA,126659
1667U2YoucgG5Pdvm2M59c,1975,1975,mellow gold,https://api.spotify.com/v1/artists/1667U2YoucgG5Pdvm2M59c,,Orleans,56,artist,spotify:artist:1667U2YoucgG5Pdvm2M59c,https://open.spotify.com/artist/1667U2YoucgG5Pdvm2M59c,NA,126659
1667U2YoucgG5Pdvm2M59c,1975,1975,soft rock,https://api.spotify.com/v1/artists/1667U2YoucgG5Pdvm2M59c,,Orleans,56,artist,spotify:artist:1667U2YoucgG5Pdvm2M59c,https://open.spotify.com/artist/1667U2YoucgG5Pdvm2M59c,NA,126659
1667U2YoucgG5Pdvm2M59c,1975,1975,yacht rock,https://api.spotify.com/v1/artists/1667U2YoucgG5Pdvm2M59c,,Orleans,56,artist,spotify:artist:1667U2YoucgG5Pdvm2M59c,https://open.spotify.com/artist/1667U2YoucgG5Pdvm2M59c,NA,126659
16oZKvXb6WkQlVAjwo2Wbg,2013,2012.5,folk-pop,https://api.spotify.com/v1/artists/16oZKvXb6WkQlVAjwo2Wbg,,The Lumineers,81,artist,spotify:artist:16oZKvXb6WkQlVAjwo2Wbg,https://open.spotify.com/artist/16oZKvXb6WkQlVAjwo2Wbg,NA,4672157
16oZKvXb6WkQlVAjwo2Wbg,2013,2012.5,pop,https://api.spotify.com/v1/artists/16oZKvXb6WkQlVAjwo2Wbg,,The Lumineers,81,artist,spotify:artist:16oZKvXb6WkQlVAjwo2Wbg,https://open.spotify.com/artist/16oZKvXb6WkQlVAjwo2Wbg,NA,4672157
16oZKvXb6WkQlVAjwo2Wbg,2013,2012.5,pop rock,https://api.spotify.com/v1/artists/16oZKvXb6WkQlVAjwo2Wbg,,The Lumineers,81,artist,spotify:artist:16oZKvXb6WkQlVAjwo2Wbg,https://open.spotify.com/artist/16oZKvXb6WkQlVAjwo2Wbg,NA,4672157
16oZKvXb6WkQlVAjwo2Wbg,2013,2012.5,stomp and holler,https://api.spotify.com/v1/artists/16oZKvXb6WkQlVAjwo2Wbg,,The Lumineers,81,artist,spotify:artist:16oZKvXb6WkQlVAjwo2Wbg,https://open.spotify.com/artist/16oZKvXb6WkQlVAjwo2Wbg,NA,4672157
17nxEt3oZte3eUuVio6W55,1960,1960,deep adult standards,https://api.spotify.com/v1/artists/17nxEt3oZte3eUuVio6W55,,Larry Hall,31,artist,spotify:artist:17nxEt3oZte3eUuVio6W55,https://open.spotify.com/artist/17nxEt3oZte3eUuVio6W55,NA,922
17nxEt3oZte3eUuVio6W55,1960,1960,instrumental worship,https://api.spotify.com/v1/artists/17nxEt3oZte3eUuVio6W55,,Larry Hall,31,artist,spotify:artist:17nxEt3oZte3eUuVio6W55,https://open.spotify.com/artist/17nxEt3oZte3eUuVio6W55,NA,922
17vIaBTHJOVxnU4v7t1DiY,1969,1968.5,brill building pop,https://api.spotify.com/v1/artists/17vIaBTHJOVxnU4v7t1DiY,,1910 Fruitgum Company,32,artist,spotify:artist:17vIaBTHJOVxnU4v7t1DiY,https://open.spotify.com/artist/17vIaBTHJOVxnU4v7t1DiY,NA,28591
17vIaBTHJOVxnU4v7t1DiY,1969,1968.5,bubblegum pop,https://api.spotify.com/v1/artists/17vIaBTHJOVxnU4v7t1DiY,,1910 Fruitgum Company,32,artist,spotify:artist:17vIaBTHJOVxnU4v7t1DiY,https://open.spotify.com/artist/17vIaBTHJOVxnU4v7t1DiY,NA,28591
17vIaBTHJOVxnU4v7t1DiY,1969,1968.5,classic garage rock,https://api.spotify.com/v1/artists/17vIaBTHJOVxnU4v7t1DiY,,1910 Fruitgum Company,32,artist,spotify:artist:17vIaBTHJOVxnU4v7t1DiY,https://open.spotify.com/artist/17vIaBTHJOVxnU4v7t1DiY,NA,28591
17vIaBTHJOVxnU4v7t1DiY,1969,1968.5,merseybeat,https://api.spotify.com/v1/artists/17vIaBTHJOVxnU4v7t1DiY,,1910 Fruitgum Company,32,artist,spotify:artist:17vIaBTHJOVxnU4v7t1DiY,https://open.spotify.com/artist/17vIaBTHJOVxnU4v7t1DiY,NA,28591
17XXKfRBMCWvLrqGoNkJXm,1967,1967,adult standards,https://api.spotify.com/v1/artists/17XXKfRBMCWvLrqGoNkJXm,,Engelbert Humperdinck,64,artist,spotify:artist:17XXKfRBMCWvLrqGoNkJXm,https://open.spotify.com/artist/17XXKfRBMCWvLrqGoNkJXm,NA,463049
17XXKfRBMCWvLrqGoNkJXm,1967,1967,brill building pop,https://api.spotify.com/v1/artists/17XXKfRBMCWvLrqGoNkJXm,,Engelbert Humperdinck,64,artist,spotify:artist:17XXKfRBMCWvLrqGoNkJXm,https://open.spotify.com/artist/17XXKfRBMCWvLrqGoNkJXm,NA,463049
